,0
0,"MESSAGE

DESCRIPTION
"
1,"MESSAGE
LÃNH ĐẠO THÀNH PHỐ VÀ THƯỜNG TRỰC QUẬN ỦY KIỂM TRA CÔNG TÁC PHÒNG CHỐNG DỊCH TRÊN ĐỊA BÀN

Ngày 28-8, Đoàn Công tác do đồng chí Đặng Minh Đạt, Thành ủy viên, Chánh Thanh tra Thành phố và đồng chí Hoàng Thị Tố Nga, Phó Bí thư Thường trực Quận ủy làm trưởng đoàn đã kiểm tra công tác phòng chống dịch Covid-19 tại 4 phường: Nguyễn Thái Bình, Bến Thành, Phạm Ngũ Lão và Nguyễn Cư Trinh, Quận 1.

Tại các phường, Đoàn Công tác đã nghe báo cáo về việc thực hiện giãn cách xã hội, công tác quản lý, chăm sóc F0 tại nhà và tại điểm thu dung của phường, công tác chăm lo an sinh xã hội, việc triển khai thực hiện “đi chợ hộ” từ ngày 23-8 đến nay cũng như lắng nghe những khó khăn và kiến nghị của các phường. Đoàn đã đến thăm Trạm Y tế lưu động của phường Nguyễn Thái Bình đặt tại số 44 Phó Đức Chính.

Sau khi nghe các phường trao đổi, đồng chí Đặng Minh Đạt, Thành ủy viên, Chánh Thanh tra Thành phố ghi nhận những nỗ lực của hệ thống chính trị các phường cùng lực lượng bộ đội, quân y trong công tác phòng chống dịch. Đồng chí lưu ý các phường khẩn trương hoàn thành việc xét nghiệm diện rộng, đặc biệt là ở những “vùng đỏ”, “vùng cam” để sớm phát hiện ra các ca F0 trong cộng đồng; tiếp cận ngay để phân loại, điều trị phù hợp. Về tiêm vaccine, cần đẩy mạnh hơn nữa công tác tuyên truyền để mỗi người dân hiểu “vaccine tốt nhất là vaccine được tiêm sớm nhất” và đồng thuận trong việc tiêm vaccine đang có hiện nay của thành phố, tránh tâm lý chờ đợi. Trong việc thực hiện giãn cách xã hội, cần chú ý thực hiện nghiêm tại các khu phố, tổ dân phố, đặc biệt là trong từng tuyến hẻm, tránh “ngoài chặt, trong lỏng”. Thực hiện nhiều giải pháp giúp người dân nắm biết các số điện thoại đường dây nóng của tổ phản ứng nhanh và tạo mọi điều kiện để người dân tiếp cận y tế sớm nhất ngay tại cơ sở, thông qua trạm y tế lưu động để chăm sóc tốt các ca F0 tại nhà và tại trạm thu dung của phường. Hỗ trợ người dân có bảo hiểm y tế đã khám định kỳ tại Bệnh viện Quận 1 nhận thuốc, giúp người dân yên tâm khi thực hiện giãn cách xã hội. Chủ động chăm lo an sinh xã hội, không để người dân nào trên địa bàn thiếu đói. Rút kinh nghiệm, khắc phục khó khăn để làm tốt hơn việc “đi chợ hộ” cho người dân, nhất là trong tuần tới, khi lượng lương thực, thực phẩm dự trữ trong nhân dân đã hết.

Trao đổi thêm với các phường, đồng chí Hoàng Thị Tố Nga, Phó Bí thư Thường trực Quận ủy đề nghị các phường quan tâm hơn đến các đối tượng yếu thế, các hoàn cảnh khó khăn, sớm hoàn tất việc chi hỗ trợ cho các đối tượng theo Nghị quyết 09 của HĐND thành phố và Nghị quyết 68 của Chính phủ. Trong trường hợp các ca F0 trên địa bàn có hoàn cảnh khó khăn cần tăng cường dinh dưỡng, các phường đề xuất quận chăm lo thêm ngoài túi an sinh cơ bản. Đồng chí Phó Bí thư Thường trực Quận ủy mong muốn các lực lượng chú ý đảm bảo an toàn sức khỏe, tiếp tục phát huy cao nhất tinh thần xung kích, trách nhiệm, cố gắng khắc phục khó khăn, quản lý chặt, chăm sóc tốt các bệnh nhân F0 cách ly tại nhà qua đó phát hiện sớm những trường hợp cần chuyển tuyến, giúp giảm thiểu bệnh nhân chuyển nặng và giảm tỉ lệ tử vong.
DESCRIPTION
Người lao động cần làm gì khi chưa nhận được tiền hỗ trợ Covid-19?

Nhiều người lao động vẫn đang thắc mắc về việc mình đã nộp đầy đủ hồ sơ nhưng vẫn chưa nhận được tiền hỗ trợ Covid-19 theo Nghị quyết 68/NQ-CP. Vậy, người lao động cần làm gì tiếp theo?

1. Kiểm tra chính xác về điều kiện để được nhận hỗ trợ

Tại Quyết định 23/2021/QĐ-TTg quy định các điều kiện để được hỗ trợ theo Nghị quyết 68 của Chính phủ. Cụ thể:

*Trường hợp tạm hoãn hợp đồng lao động, nghỉ việc không lương

Người lao động làm việc tại doanh nghiệp, hợp tác xã… phải tạm dừng hoạt động theo yêu cầu của cơ quan nhà nước có thẩm quyền để phòng, chống dịch Covid-19 được hỗ trợ khi đủ các điều kiện sau:

- Tạm hoãn hợp đồng lao động, nghỉ việc không lương từ 15 ngày liên tục trở lên, tính từ 1-5-2021 - 31-12-2021 và bắt đầu tạm hoãn hợp đồng lao động, nghỉ việc không lương từ 1-5-2021 - 31-12-2021

- Đang tham gia bảo hiểm xã hội bắt buộc tại tháng liền kề trước thời điểm tạm hoãn thực hiện hợp đồng lao động, nghỉ việc không hưởng lương.

*Trường hợp bị ngừng việc

- Bị ngừng việc và thuộc đối tượng phải cách ly y tế hoặc trong khu vực bị phong tỏa từ 14 ngày trở lên;

- Đang tham gia bảo hiểm xã hội bắt buộc tại tháng trước liền kề tháng ngừng việc.

*Trường hợp chấm dứt hợp đồng lao động nhưng không đủ điều kiện nhận trợ cấp thất nghiệp

+ Chấm dứt hợp đồng lao động trong thời gian từ 1-5-2021 - 31-12-2021 nhưng không đủ điều kiện hưởng trợ cấp thất nghiệp (trừ người lao động đơn phương chấm dứt hợp đồng lao động trái pháp luật; Hưởng lương hưu, trợ cấp mất sức lao động hằng tháng).

+ Đang tham gia bảo hiểm xã hội bắt buộc tại tháng liền kề trước thời điểm chấm dứt hợp đồng lao động.

*Trường hợp không có hợp đồng lao động (lao động tự do)

Điều kiện hưởng của đối tượng này do các địa phương quy định.

2. Hồ sơ chưa hợp lệ, cần phải thay đổi
- Đối với trường hợp tạm hoãn thực hiện hợp đồng lao động, nghỉ việc không hưởng lương; ngừng việc:

Người sử dụng lao động sẽ làm thủ tục, nộp hồ sơ giấy tờ cho các cơ quan có thẩm quyền, không phải người lao động trực tiếp làm.

Do đó, nếu như người lao động thắc mắc chưa nhận được tiền hỗ trợ Covid-19, có thể liên hệ với người sử dụng lao động để biết chính xác nhất.

- Đối với người lao động tự do, các địa phương sẽ xác minh và tự lập danh sách. Nên người lao động có thể liên hệ để phương để biết mình đã được lập danh sách hay chưa.

- Với trường hợp chấm dứt hợp đồng lao động mà không đủ điều kiện hưởng

trợ cấp thất nghiệp, người lao động cần trực tiếp đi làm thủ tục để được nhận tiền hỗ trợ Covid-19.

3. Cần nắm rõ về thời gian giải quyết thủ tục

Với mỗi đối tượng hỗ trợ sẽ có một khoảng thời gian giải quyết nhất định, cụ thể:

- Thủ tục hỗ trợ người lao động bị tạm hoãn hợp đồng lao động, nghỉ việc không lương: 2 ngày để cơ quan bảo hiểm xã hội xác nhận; 2 ngày để UBND cấp huyện thẩm định và 2 ngày cấp tỉnh phê duyệt.

- Thủ tục lao động ngừng việc, gồm: 2 ngày để cơ quan xác nhận, 2 ngày để UBND cấp huyện thẩm định; 2 ngày để UBND cấp tỉnh phê duyệt; 2 ngày để người sử dụng lao động chi trả cho người lao động.

- Với trường hợp chấm dứt hợp đồng lao động nhưng không đủ điều kiện nhận trợ cấp thất nghiệp, ngày 05 và ngày 20 hằng tháng, Trung tâm Dịch vụ việc làm sẽ tổng hợp danh sách và trình Sở Lao động Thương binh và Xã hội. Sở sẽ thẩm định trong 2 ngày làm việc và, UBND cấp tỉnh phê duyệt và chỉ đạo thực hiện chi trả hỗ trợ trong 3 ngày làm việc.

Như vây, để nhận được hỗ trợ thì phải trải qua những khoảng thời gian quy định trên. Vì vậy, người dân cần hiểu rõ để xác định được khi nào mình nhận được hỗ trợ.

Đường dây nóng tiếp nhận, chuyển cơ quan chức năng để xem xét, giải quyết hỗ trợ lao động và doanh nghiệp gặp khó khăn do dịch Covid-19 trên địa bàn Quận 7: 0909 600 400"
2,"MESSAGE
TẬP ĐOÀN VIỄN THÔNG QUÂN ĐỘI TUYỂN NHÂN VIÊN VĂN PHÒNG GIỜ HÀNH CHÍNH
CV: Tư vấn, đăng ký  các gói cước 3G,4G mạng di động VT
+ Chỉ cần TN THPT trở lên
+ Không yêu cầu ngoại hình
+ Sau 2 tháng đóng bảo hiểm xã hội
+ Thử việc nhận 100% lương
+ Lương tháng 13, hiếu hỉ lễ tết
+ Thu nhập 8-12tr
+ Đào tạo không mất phí còn được hỗ trợ lương
+ Chấp nhận Sinh Viên đang chờ bằng
+ Môi trường làm việc chuyên nghiệp
- Thưởng tết cao ngất trời
Địa chỉ: TT CSKH VIETTEL 158/2A Hoàng Hoa Thám, P.12, Q.Tân Bình
Địa chỉ 2:  Tòa nhà MB Bank 161-162 Trần Quốc Thảo ,Quận 3 

- Ứng tuyển bằng cách:
Liên hệ bộ phận tuyển dụng
 Mr Nhan : 0783333289
DESCRIPTION
🌟🌟🌟 NHỮNG CHÍNH SÁCH NỔI BẬT CÓ HIỆU LỰC TỪ THÁNG 9/2021 📚📚📚

📌 Tháng 9/2021 có nhiều chính sách mới có hiệu lực thi hành. Xin trân trọng giới thiệu một số chính sách nổi bật có hiệu lực: Không cần nộp bản sao giấy tờ tuỳ thân khi làm sổ đỏ; Thêm nhiều quyền lợi mới về bảo hiểm xã hội; Bỏ danh hiệu học sinh tiên tiến ở cấp THCS, THPT;..."
3,"MESSAGE
* [TUYỂN DỤNG: Nhân viên Siêu thị]

 ""Gia nhập Bách Hóa Xanh, tưởng không vui mà vui không tưởng"" 

Chúng mình vẫn đang tuyển đồng đội cho nhà Bách Hóa Xanh KHÁNH HÒA

Còn gì tuyệt bằng:

 Phỏng vấn nhanh - Làm việc liền 

 Hỗ trợ hồ sơ đơn giản

 Làm việc trong môi trường năng động, nhiệt tình, có thể lựa chọn siêu thị đang tuyển gần nhà bạn, phúc lợi đầy đủ như Bảo hiểm y tế, Bảo hiểm xã hội,...

Tại các khu vực: Nha Trang, Cam Lâm, Diên Khánh, Cam Ranh, Vạn Ninh.

 Các vị trí: Nhân viên Kho bán hàng, Thu ngân

Nhân viên Kho bán hàng BHX: https://tgdd.vn/khostbhx

Nhân viên Thu ngân BHX: https://tgdd.vn/tnstbhx
DESCRIPTION
Trả lời cho câu “Không làm được gì thì đừng chỉ trích” Bởi AdminTD - 28/08/2021 Nguyễn Vi Yên 28-8-2021 Xin thưa, “chỉ trích” tức là “làm”. Thứ nhất, những tiếng nói chỉ trích, phản biện của người dân sẽ giúp soi tỏ các vấn đ..."
4,"MESSAGE
Tuyển HCNS làm việc Ninh Bình.  ĐI làm ngay nhé!
DESCRIPTION
HỖ TRỢ CHO BÉ “F1”

Ngày 25/8/2021, bệnh viện Hùng Vương đã triển khai Trung tâm HOPE (Have Only Positive Expectation) tại khuôn viên Trường Mầm non Họa Mi 2 (số 11 Lý Thường Kiệt). 
HOPE là giải pháp tình thế mang đậm tính nhân văn của bệnh viện Hùng Vương nhằm hỗ trợ các bé có mẹ bị nhiễm covid, nhưng bé không nhiễm, mà gia đình chưa có khả năng đón về. 
Trong thời gian nằm chờ Ba Mẹ tới rước, bé sẽ nhận được sự chăm sóc tốt nhất từ các cô bảo mẫu cả vật chất và tình yêu thương. Cùng được cả cộng đồng chia sẻ và đùm bọc nên khi gia đình đón bé từ HOPE về sẽ không phải thanh toán bất cứ chi phí nào.

Tuy nhiên, bệnh viện Hùng Vương không chỉ có các bé tại HOPE. Những trường hợp mẹ nhiễm covid sau khi sanh hoặc mổ, ở bất cứ tuổi thai và tình trạng bệnh lý nào, đều được khoa Sơ sinh tiếp nhận để chăm sóc, điều trị và kiểm tra xem bé có bị nhiễm Covid không. 
Nếu bé khỏe mạnh, đủ điều kiện sẽ được xuất viện. 
Nếu bé được xuất viện mà gia đình chưa có điều kiện đón sẽ được chuyển qua HOPE. 
Nếu bé non tháng hoặc có bệnh lý sẽ được giữ điều trị tại khoa cho tới khi ổn sau đó hoặc về nhà cùng gia đình hoặc chuyển qua HOPE nằm chờ mẹ.

Cùng với sự chung tay giúp sức của cả cộng đồng, trong nỗ lực chăm sóc các bé “F1” của mẹ F0, hướng về một tương lai tươi sáng hơn, trong thời gian qua, bệnh viện Hùng Vương đã cung cấp miễn phí toàn bộ tã trong thời gian nằm viện cho các bé tại khoa Sơ sinh. 

Tuy nhiên, với những gia đình đang kiệt quệ về kinh tế do ảnh hưởng của đại dịch trong gần 2 năm qua, cộng thêm việc mẹ bé bị nhiễm Covid thì viện phí của bé khi xuất viện vẫn là một gánh nặng. Còn nặng hơn nếu như trong gia đình có thêm người bị nhiễm bệnh. Đã có những gia đình phải vét túi hay phải vay mượn để có đủ tiền thanh toán viện phí và đón con về. 

Để giúp các bé có mẹ nhiễm covid mà hoàn cảnh gia đình khó khăn được sớm trở về nhà trong vòng tay yêu thương của ba, của ông bà,.. từ ngày 29/08/2021, Hội Chữ thập đỏ và phòng Công tác xã hội sẽ hỗ trợ gia đình phần viện phí còn lại của bé sau khi đã được Bảo hiểm Y tế chi trả mà gia đình không thể thanh toán đủ. Bên cạnh đó, bệnh viện cũng sẽ cố gắng sắp xếp để có thêm một phần quà giúp cho gia đình có điều kiện chăm sóc bé trong những ngày đầu tiên được đoàn viên. 

Hy vọng rằng, cả bệnh viện và cộng đồng sẽ cùng giúp cho ngày bé được về nhà thực sự là một ngày vui. Ít nhất là một ngày đầm ấm, tràn ngập yêu thương và hạnh phúc của gia đình mà không bị kèm thêm gánh nặng. 

Quốc Hùng"
5,"MESSAGE
☘️CATHAY ĐỒNG HÀNH CÙNG TUYẾN ĐẦU CHỐNG DỊCH 

Bên cạnh nỗ lực kinh doanh, Cathay life luôn là Doanh nghiệp đi đầu về các hoạt động trách nhiệm xã hội thiết thực hỗ trợ Khách hàng, hỗ trợ cộng đồng

Vừa qua vào ngày 20/08, CÔNG TY TNHH BẢO HIỂM NHÂN THỌ CATHAY VIỆT NAM đã trao tặng CÁC Y, BÁC SĨ TUYẾN ĐẦU CHỐNG DỊCH COVID – 19 TẠI BỆNH VIỆN ĐA KHOA THÀNH PHỐ CẦN THƠ 500 BỘ ĐỒ BẢO HỘ Y TẾ trong việc Hỗ Trợ Phòng Chống Dịch COVID - 19 

Yêu lắm Cathay 🥰

#cathaylife
#bảovệmùadịch
#đồnghànhcùngkháchhàng
DESCRIPTION
Người ta thường hay so sánh giữa mua bảo hiểm xã hội và bảo hiểm nhân thọ kênh nào tốt hơn? -----------------------------------Quý anh chị muốn trực tiếp Trầ..."
6,"MESSAGE
LỜI KHẲNG ĐỊNH ""CHẮC NỊCH"" CỦA BÍ THƯ ĐỒNG NAI NGUYỄN HỒNG LĨNH
 
Với lời khẳng định ""chắc nịch"" của Bí thư Đồng Nai, có thể nói ông và yêu cầu các thuộc cấp phải đem cả sinh mạng chính trị của mình đặt vào công tác an sinh.

Gần đây, xuất hiện một số phát biểu ngắn gọn và ""chắc nịch"" của lãnh đạo từ địa phương tới Trung ương.

Tại An Giang, Giám đốc Công an tỉnh, Đại tá Đinh Văn Nơi nhắn nhủ: ""Nếu thiếu gạo mà chưa có trong danh sách hỗ trợ thì nhắn tin cho tôi"" đồng thời công khai số điện thoại 0962297777 của mình để người dân có thể trực tiếp gọi điện, nhắn tin SMS hoặc Zalo.

Bộ trưởng Bộ Giao thông Vận tải Nguyễn Văn Thể cũng tuyên bố phải coi tất cả hàng hóa đều là thiết yếu, trừ hàng cấm, tất cả tuyến đường bộ là luồng xanh. ""Văn bản nào trái với chỉ đạo của Chính phủ hoặc không trái nhưng làm phát sinh thêm chi phí, thời gian, ""giấy phép con"" thì phải dừng áp dụng. Tuyệt đối không cản trở vận chuyển hàng hóa"". Ông Thể nói.

Tại Công điện số 1102/CĐ-TTg ngày 23-8-2021 về việc tăng cường các biện pháp phòng, chống dịch Covid-19 trên toàn quốc, Thủ tướng Phạm Minh Chính yêu cầu ""bãi bỏ ngay các quy định không phù hợp"".

Đặc biệt, tại Hội nghị trực tuyến của Ban chỉ đạo phòng, chống dịch bệnh Covid-19 tỉnh Đồng Nai với các địa phương về công tác phòng, chống dịch trên địa bàn vào sáng ngày 23/8, Bí thư Tỉnh ủy Nguyễn Hồng Lĩnh khẳng định ""nếu để người dân Đồng Nai đói trong thời gian giãn cách thì tôi xin từ chức luôn"" đồng thời yêu cầu lãnh đạo phải lấy sinh mạng chính trị của mình ra để đảm bảo: ""Người đứng đầu cấp ủy, chính quyền cơ sở phải chịu kỷ luật trước tiên, thậm chí ngay cả Bí thư Tỉnh ủy cũng phải chịu trách nhiệm. Cuộc chiến chống dịch thắng lợi hay không phụ thuộc vào ý thức người dân, nhưng quan trọng hơn vẫn là chính sách an dân, làm sao để người dân yên tâm và tin tưởng. Vắc xin quan trọng nhất là ý thức người dân và lòng dân"".

Đây là lời tuyên bố ""chắc nịch"" của vị lãnh đạo cao nhất tỉnh Đồng Nai, một trong số các địa phương có nhiều ca lây nhiễm nhất đồng thời cũng là một trong những trung tâm kinh tế của cả nước.

Nhìn từ lịch sử cũng như hiện tại cho thấy, an sinh xã hội là công tác rất quan trọng trong đời sống xã hội nói chung, trong công cuộc phòng chống dịch bệnh nói riêng.

Trong ""Đại cáo bình Ngô"", Nguyễn Trãi đã viết: ""Việc nhân nghĩa cốt ở an dân"". Trong công cuộc phòng chống ""giặc covid"" hiện nay, thành công hay không cốt lõi là ở an dân. Dân an mới chống được dịch bệnh hay ngược lại, muốn chống dịch bệnh thành công thì trước hết phải an dân.

Có lẽ vì vậy, tại cuộc họp trực tuyến với các địa phương nhằm đôn đốc việc thực hiện Nghị quyết 68/NQ-CP và Quyết định 23/2021/QĐ-TTg, sau khi điểm lại những thành công như gần 11,33 triệu người lao động được giảm mức đóng bảo hiểm tai nạn lao động, bệnh nghề nghiệp. Tạm dừng đóng vào quỹ hưu trí và tử tuất cho 45.000 người lao động. 77.200 lao động tạm hoãn hợp đồng lao động, nghỉ việc không hưởng lương được hỗ trợ tiền mặt. Gần 37.000 hộ kinh doanh bị tạm dừng hoạt động được hỗ trợ. Gần 1,2 triệu người lao động tự do trong cả nước đã được nhận hỗ trợ với tổng kinh phí gần 2.180 tỷ đồng, hàng triệu túi quà an sinh đã và đang được trao tận tay người dân... Bộ trưởng Bộ LĐ-TB&XH Đào Ngọc Dung khẳng định: ""Đó là cái được lớn nhất trong thực hiện chính sách. Qua đó, niềm tin của người dân với Đảng, Nhà nước và công cuộc chống dịch ngày càng lên cao…"". 

Trở lại với lời khẳng định ""chắc nịch"" của Bí thư Đồng Nai, có thể nói ông và yêu cầu các thuộc cấp phải đem cả sinh mạng chính trị của mình đặt vào công tác an sinh.

Khi lòng dân đã an thì ""Khó vạn lần dân liệu vẫn xong"". Nếu làm tốt công tác an sinh cộng với những nỗ lực của ngành Y tế và sự ủng hộ của người dân, công cuộc phòng chống đại dịch covid dù còn rất gian nan nhưng chắc chắn sẽ thành công.

#choico
DESCRIPTION
Bảo hiểm xã hội chăm lo cho bạn từ khi còn trong bụng mẹ cho đến cuối cuộc đời
HOT LINE : 0252.3833703
Add :  Địa chỉ: Khu dân cư Bắc Xuân An, phường Xuân An, thành phố Phan Thiết, tỉnh Bình Thuận.
"
7,"MESSAGE
https://www.youtube.com/watch?v=JSuQfU3oUYw
DESCRIPTION
Bạn hãy nhắm mắt lại và mơ đến mình khi về già, bạn sẽ sống như thế nào? Đó là câu hỏi vô cùng quan trọng cho cuộc đời mỗi chúng ta.

Nếu không có của để dành, tích lũy thì bạn đã tự đặt mình vào chân tường của cuộc sống, phó mặc tuổi già cho số phận.
Sổ BHXH chính là 1 trong những ""của để dành"" quý giá nhất mà một công dân Việt Nam nên đặt niềm tin vào.
♧♧♧♧ Bảo hiểm y tế, bảo hiểm xã hội tự nguyện, bảo hiểm xe máy liên hệ em nha 0949433368, tư vấn uy tín luôn."
8,"MESSAGE
🛎 KHU VỰC TÂY NINH TƯNG BỪNG TUYỂN DỤNG NHÂN VIÊN SIÊU THỊ BHX
>> Đặc biệt tại các siêu thị: 
- TP.Tây Ninh: BHX Ninh Thạnh (gần UBND TP.Tây Ninh)
- Trảng Bàng: BHX Lộc Hưng (cách chợ cũ Trảng bàng 400m)
- Gò Dầu: BHX Phước Thạnh (gần thị trấn Gò Dầu)
- Châu Thành: Chợ Bình Phong, Chợ An Cơ, Chợ Cao Xá,  Ngã tư Thanh Phước, Thanh Điền
- Bến Cầu: Ngã ba An Thạnh

👍 Ứng tuyển ngay tại: http://tgdd.vn/tuyendungbhx 
>> Vị trí nhân viên chính thức Kho bán hàng, Thu ngân, Bảo vệ siêu thị

👍Yêu cầu đơn giản: Độ tuổi từ 18 - 40, sức khỏe tốt, làm được ca xoay, có làm được ca đêm thì về ngay nhà Bách Hóa nhen. 

👍Về phúc lợi: Mức lương ổn định, Hưởng đầy đủ chế độ phúc lợi như Bảo hiểm y tế, Bảo hiểm xã hội,...
#BHX #bhxhcm #tuyendungbachhoaxanh #TayNinh
DESCRIPTION
❗️❗️𝐓𝐔𝐘𝐄̂̉𝐍 𝐆𝐀̂́𝐏 𝐓𝐎𝐊𝐔𝐓𝐄𝐈 𝐊𝐀𝐈𝐆𝐎 tại  𝐍𝐀𝐆𝐀𝐒𝐀𝐊𝐈 chốt phỏng vấn ngay 

📮𝐒𝐨̂́ 𝐥𝐮̛𝐨̛̣𝐧𝐠: 𝟐 𝐧𝐮̛̃
📮𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 𝐛𝐚̆̀𝐧𝐠 𝐊𝐀𝐈𝐆𝐎
📮𝐏𝐡𝐨̉𝐧𝐠 𝐯𝐚̂́𝐧 𝐠𝐚̂́𝐩,𝐤𝐡𝐨̂𝐧𝐠 𝐲𝐞̂𝐮 𝐜𝐚̂̀𝐮 𝐛𝐚̆̀𝐧𝐠 𝐉𝐋𝐏𝐓

❌Quyền lợi:
- Mức lương: ~¥𝟏𝟔𝟓.𝟎𝟎𝟎/𝐭𝐡𝐚́𝐧𝐠
- 𝐌𝐢𝐞̂̃𝐧 𝐩𝐡𝐢́ 𝐤𝐲́ 𝐭𝐮́𝐜 𝐱𝐚́
- Có ca đêm 
- Có thưởng
- Hỗ trợ bảo hiểm và phúc lợi xã hội đầy đủ
- Nghỉ phép theo tháng, năm

Ngoài ra, Boost Human có đơn hàng Kaigo trên toàn nước Nhật, các bạn có nhu cầu khác có thể inbox để được hỗ trợ nhanh nhất.

𝘛𝘳𝘢̂𝘯 𝘵𝘳𝘰̣𝘯𝘨
-------------
Thông tin liên hệ
🇯🇵 Nhật Bản
🏢東京都台東区上野1-11-9イマスサニービル8F
☎03-5812-8321
📞080-5974-6789 (Nhân viên người Việt hỗ trợ)

🇻🇳Việt Nam
🏢8C Tôn Thất Thuyết - Nam Từ Liêm - Hà Nội
📞0916-82-55-84
＃特定技能 ＃Tokutei ＃Tokuteigino #Kaigo #Nagasaki #NagasakiKaigo"
9,"MESSAGE
Nhân Viên Kinh Doanh
CÔNG TY VỰA MIỀN TRUNG

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Mô tả công việc
- Nắm vững các mặt hàng/sản phẩm của công ty kinh doanh; Chuẩn bị đầy đủ tài liệu trước khi bán hàng hoặc đi thị trường (nếu có).
- Lập kế hoạch bán hàng hằng tháng trình BLĐ duyệt & thực hiện theo kế hoạch được duyệt.
- Thực hiện theo đúng QT bán hàng, QT nhận và giải quyết khiếu nại khách hàng.
- Khảo sát nhu cầu, lấy thông tin khách hàng + chốt đơn hàng.
- Làm hợp đồng hoặc phiếu bán hàng, tập hợp Chứng minh nhân dân hoặc giấy đăng ký KD của khách hàng (nếu có).
- Nắm bắt và tương tác với khách hàng về yêu cầu của khách hàng về Sản phẩm để thúc đẩy các đơn hàng.
- Phát triển khách hàng mới.
- Chăm sóc khách hàng và bán hàng theo lịch trình đã định.
- Phối hợp cùng bộ phận Kho, giao vận để hoàn thành đơn hàng giao đến cho khách.
- Báo cáo Kết quả liên quan đến bán hàng, chăm sóc khách hàng HẰNG NGÀY.
- Các công việc chung của công ty và theo sự phân công của BLĐ.
Yêu cầu công việc
- Có từ 03 năm kinh nghiệm trở lên vị trí nhân viên Kinh doanh (bán hàng/mua hàng).
- Ưu tiên: có kinh nghiệm hàng Fresh Food.
- Nhiệt tình, năng động, nhạy bén với thị trường.
- Nhanh nhẹn, tư duy sáng tạo.
- Tố chất kinh doanh, kỹ năng giao tiếp tốt.
- Thành thạo các kĩ năng bán hàng, giao tiếp và đàm phán.
- Làm việc độc lập và chịu được áp lực trong công việc.
- Có thể công tác xa, dài ngày.
- Sử dụng thành thạo vi tính văn phòng, các phần mềm liên quan đến công việc, làm việc độc lập.
- Trình độ học vấn/chuyên môn: Cao đẳng trở lên chuyên ngành: Quản trị kinh doanh, Marketing, Kinh tế,...
- Tuổi 25 đến 35; Sức khỏe tốt, chịu được áp lực công việc.
- Có sự tuân thủ, chấp hành thực hiện theo Quy trình, Nội quy chung của Công ty ban hành.
- Đã từng làm Thu mua hàng thực phẩm ít nhất 3 năm (ưu tiên hàng Fresh).
- Kỹ năng đàm phán giá tốt, thương thảo hợp đồng.
- Kỹ năng khảo sát giá thị trường, nắm bắt thông tin về hàng thực phẩm.
- Kỹ năng quản lý thời gian làm việc hiệu quả.
Quyền lợi được hưởng
Chế độ bảo hiểm
Nghỉ phép năm
Tăng lương
Chế độ thưởng
- Được hưởng đầy đủ bảo hiểm xã hội, y tế.
- Thưởng lễ, tết.
- Thưởng nóng qua hiệu suất công việc.
- Làm trong môi trường chuyên nghiệp, cơ hội thăng tiến cao.
- Tiếp xúc và học hỏi rất nhiều từ các doanh nghiệp lớn.

 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Xem chi tiết và nộp hồ sơ tại https://vieclamdanang.edu.vn/nhan-vien-kinh-doanh-24191.html
* Xem thêm nhiều công việc khác https://vieclamdanang.edu.vn/ *
DESCRIPTION
📌Mặt tiền 5x60 (thực tế dài hơn) thổ cư 50 Trần Hưng Đạo 

✅cặp Bảo Hiểm Xã Hội TPST 

💰giá 2tỷ6 TL

☎️0919733016"
